Requisition_ID,Department,Open_Date,Time_To_Fill_Days,Candidate_Count,Offer_Accepted,Hire_Date,Hiring_Manager
REQ00047,IT,2025-08-16,102,34,Yes,2025-11-26,MGR0291
REQ00048,Customer Service,2024-12-23,54,18,No,2025-02-15,MGR0253
REQ00049,Operations,2025-04-26,22,33,Yes,2025-05-18,MGR0132
REQ00050,Customer Service,2023-01-23,73,21,Yes,2023-04-06,MGR0286
REQ00051,Operations,2023-06-24,53,113,Yes,2023-08-16,MGR0164
REQ00052,Operations,2025-04-29,47,69,Yes,2025-06-15,MGR0254
REQ00053,Safety & Compliance,2025-06-30,67,87,Yes,2025-09-05,MGR0043
REQ00054,Maintenance,2025-04-08,69,148,Yes,2025-06-16,MGR0059
REQ00055,Maintenance,2023-09-26,35,21,No,2023-10-31,MGR0060
REQ00056,Operations,2025-01-31,23,135,Yes,2025-02-23,MGR0243
REQ00057,Operations,2023-11-14,71,45,Yes,2024-01-24,MGR0208
REQ00058,Finance,2023-04-30,68,35,No,2023-07-07,MGR0187
REQ00059,Maintenance,2025-11-27,52,82,Yes,2026-01-18,MGR0162
REQ00060,IT,2024-02-19,99,63,Yes,2024-05-28,MGR0020
REQ00061,Customer Service,2023-04-08,74,63,Yes,2023-06-21,MGR0058
REQ00062,Operations,2024-01-02,44,100,Yes,2024-02-15,MGR0074
REQ00063,IT,2025-06-29,45,61,Yes,2025-08-13,MGR0040
REQ00064,Customer Service,2025-02-12,23,147,Yes,2025-03-07,MGR0258
REQ00065,Operations,2025-11-03,71,150,Yes,2026-01-13,MGR0300
REQ00066,IT,2025-05-19,57,16,Yes,2025-07-15,MGR0283
REQ00067,Operations,2023-06-09,62,55,Yes,2023-08-10,MGR0028
REQ00068,Maintenance,2024-09-06,47,124,No,2024-10-23,MGR0066
REQ00069,Customer Service,2024-01-09,65,138,Yes,2024-03-14,MGR0265
REQ00070,IT,2024-06-22,77,82,No,2024-09-07,MGR0150
REQ00071,Safety & Compliance,2024-01-09,51,104,Yes,2024-02-29,MGR0045
REQ00072,Operations,2023-06-27,26,21,Yes,2023-07-23,MGR0193
REQ00073,Operations,2025-05-11,29,32,Yes,2025-06-09,MGR0114
REQ00074,Operations,2024-03-12,51,66,Yes,2024-05-02,MGR0056
REQ00075,Customer Service,2025-07-30,71,85,Yes,2025-10-09,MGR0211
REQ00076,Planning,2024-06-01,104,57,Yes,2024-09-13,MGR0144
REQ00077,Operations,2024-12-26,42,114,No,2025-02-06,MGR0150
REQ00078,Customer Service,2025-06-29,65,48,Yes,2025-09-02,MGR0238
REQ00079,Maintenance,2024-05-27,63,108,Yes,2024-07-29,MGR0142
REQ00080,Operations,2023-04-23,37,31,Yes,2023-05-30,MGR0189
REQ00081,Maintenance,2023-02-02,18,35,No,2023-02-20,MGR0259
REQ00082,IT,2023-05-23,80,11,Yes,2023-08-11,MGR0144
REQ00083,Maintenance,2024-11-13,39,135,Yes,2024-12-22,MGR0036
REQ00084,Maintenance,2025-07-28,39,117,Yes,2025-09-05,MGR0203
REQ00085,Operations,2024-08-01,42,147,Yes,2024-09-12,MGR0189
REQ00086,Maintenance,2025-05-11,27,69,Yes,2025-06-07,MGR0293
REQ00087,HR,2025-04-27,75,31,Yes,2025-07-11,MGR0245
REQ00088,Maintenance,2023-08-27,37,51,Yes,2023-10-03,MGR0035
REQ00089,Operations,2024-12-23,74,148,Yes,2025-03-07,MGR0061
REQ00090,Operations,2025-07-28,74,120,Yes,2025-10-10,MGR0249
REQ00091,IT,2024-06-18,53,85,Yes,2024-08-10,MGR0073
REQ00092,Customer Service,2024-04-08,25,27,No,2024-05-03,MGR0200
REQ00093,Planning,2024-03-22,58,66,Yes,2024-05-19,MGR0051
REQ00094,IT,2024-07-24,62,141,Yes,2024-09-24,MGR0168
REQ00095,Maintenance,2025-11-12,48,134,Yes,2025-12-30,MGR0098
REQ00096,Operations,2024-02-12,66,55,No,2024-04-18,MGR0038
REQ00097,Operations,2025-02-01,59,101,Yes,2025-04-01,MGR0294
REQ00098,HR,2023-02-02,73,24,Yes,2023-04-16,MGR0102
REQ00099,Customer Service,2023-03-30,29,45,Yes,2023-04-28,MGR0123
REQ00100,Maintenance,2023-11-05,36,80,No,2023-12-11,MGR0052
REQ00101,Finance,2025-10-31,33,65,Yes,2025-12-03,MGR0101
REQ00102,Operations,2025-12-27,47,87,Yes,2026-02-12,MGR0108
REQ00103,Finance,2025-08-22,23,41,Yes,2025-09-14,MGR0041
REQ00104,Operations,2023-09-18,40,143,Yes,2023-10-28,MGR0273
REQ00105,Maintenance,2024-03-07,46,114,No,2024-04-22,MGR0275
REQ00106,Safety & Compliance,2023-05-11,73,87,Yes,2023-07-23,MGR0266
REQ00107,HR,2025-04-09,75,98,Yes,2025-06-23,MGR0239
REQ00108,Finance,2024-10-04,57,110,Yes,2024-11-30,MGR0016
REQ00109,Customer Service,2023-12-13,28,47,No,2024-01-10,MGR0050
REQ00110,Planning,2025-08-25,53,70,Yes,2025-10-17,MGR0192
REQ00111,Operations,2023-07-02,55,97,Yes,2023-08-26,MGR0189
REQ00112,Finance,2025-08-16,22,8,No,2025-09-07,MGR0086
REQ00113,Safety & Compliance,2023-03-12,38,90,Yes,2023-04-19,MGR0085
REQ00114,Maintenance,2024-07-08,30,116,Yes,2024-08-07,MGR0004
REQ00115,Operations,2023-08-09,59,35,No,2023-10-07,MGR0005
REQ00116,Operations,2025-08-02,25,124,Yes,2025-08-27,MGR0063
REQ00117,Operations,2024-01-18,25,140,Yes,2024-02-12,MGR0192
REQ00118,Operations,2024-02-03,21,23,No,2024-02-24,MGR0180
REQ00119,Maintenance,2024-09-13,67,86,No,2024-11-19,MGR0017
REQ00120,Maintenance,2024-11-06,40,31,Yes,2024-12-16,MGR0240
REQ00121,Customer Service,2023-01-03,39,131,Yes,2023-02-11,MGR0094
REQ00122,Operations,2025-12-15,43,14,Yes,2026-01-27,MGR0062
REQ00123,Customer Service,2023-04-23,47,49,Yes,2023-06-09,MGR0137
REQ00124,Customer Service,2024-08-04,48,105,Yes,2024-09-21,MGR0116
REQ00125,Finance,2024-06-25,51,45,Yes,2024-08-15,MGR0084
REQ00126,Finance,2024-05-31,27,119,Yes,2024-06-27,MGR0040
REQ00127,Customer Service,2023-04-14,65,36,Yes,2023-06-18,MGR0252
REQ00128,Operations,2025-08-11,31,53,No,2025-09-11,MGR0007
REQ00129,Safety & Compliance,2024-11-29,32,114,Yes,2024-12-31,MGR0025
REQ00130,HR,2024-08-30,53,81,Yes,2024-10-22,MGR0149
REQ00131,Operations,2025-08-01,75,17,Yes,2025-10-15,MGR0131
REQ00132,Customer Service,2024-11-14,73,9,No,2025-01-26,MGR0288
REQ00133,Maintenance,2025-10-22,36,24,Yes,2025-11-27,MGR0217
REQ00134,Operations,2023-05-09,20,116,Yes,2023-05-29,MGR0261
REQ00135,IT,2024-09-07,75,13,Yes,2024-11-21,MGR0230
REQ00136,Maintenance,2024-11-26,37,68,Yes,2025-01-02,MGR0146
REQ00137,Operations,2024-12-25,42,15,No,2025-02-05,MGR0092
REQ00138,Planning,2023-12-08,68,104,Yes,2024-02-14,MGR0049
REQ00139,Operations,2024-07-16,40,119,No,2024-08-25,MGR0129
REQ00140,Finance,2024-05-06,67,120,Yes,2024-07-12,MGR0054
REQ00141,HR,2024-02-01,55,28,Yes,2024-03-27,MGR0192
REQ00142,Operations,2024-06-29,27,38,Yes,2024-07-26,MGR0125
REQ00143,Finance,2024-01-08,24,16,Yes,2024-02-01,MGR0004
REQ00144,Planning,2023-08-28,113,106,Yes,2023-12-19,MGR0166
REQ00145,Maintenance,2023-05-04,39,138,Yes,2023-06-12,MGR0276
REQ00146,HR,2023-03-17,21,41,Yes,2023-04-07,MGR0036
REQ00147,Operations,2023-09-05,49,46,Yes,2023-10-24,MGR0091
REQ00148,Operations,2024-06-09,50,93,Yes,2024-07-29,MGR0139
REQ00149,Planning,2023-11-28,111,140,Yes,2024-03-18,MGR0088
REQ00150,Maintenance,2024-04-23,45,75,Yes,2024-06-07,MGR0072
REQ00151,Operations,2023-01-13,51,61,Yes,2023-03-05,MGR0020
REQ00152,HR,2024-03-14,65,33,No,2024-05-18,MGR0011
REQ00153,Operations,2023-05-09,57,27,Yes,2023-07-05,MGR0282
REQ00154,Planning,2023-09-24,61,137,Yes,2023-11-24,MGR0144
REQ00155,Customer Service,2025-01-12,47,95,Yes,2025-02-28,MGR0011
REQ00156,Safety & Compliance,2023-08-14,39,75,Yes,2023-09-22,MGR0194
REQ00157,Maintenance,2023-05-20,22,102,Yes,2023-06-11,MGR0072
REQ00158,Operations,2023-05-28,73,26,Yes,2023-08-09,MGR0006
REQ00159,Operations,2025-02-22,30,99,Yes,2025-03-24,MGR0182
REQ00160,Operations,2025-05-19,20,123,Yes,2025-06-08,MGR0164
REQ00161,Maintenance,2024-09-12,26,95,Yes,2024-10-08,MGR0182
REQ00162,IT,2024-07-31,92,23,Yes,2024-10-31,MGR0191
REQ00163,Operations,2023-02-15,18,141,Yes,2023-03-05,MGR0163
REQ00164,Maintenance,2024-07-22,48,105,Yes,2024-09-08,MGR0152
REQ00165,Customer Service,2024-09-28,36,87,Yes,2024-11-03,MGR0195
REQ00166,Planning,2024-03-01,120,122,Yes,2024-06-29,MGR0287
REQ00167,Operations,2025-08-29,54,11,No,2025-10-22,MGR0140
REQ00168,IT,2023-04-27,101,117,No,2023-08-06,MGR0057
REQ00169,Operations,2024-12-30,37,129,Yes,2025-02-05,MGR0079
REQ00170,Operations,2024-03-17,34,130,Yes,2024-04-20,MGR0074
REQ00171,Operations,2025-03-20,65,67,Yes,2025-05-24,MGR0038
REQ00172,Maintenance,2025-07-20,43,65,No,2025-09-01,MGR0126
REQ00173,Customer Service,2024-03-14,43,40,Yes,2024-04-26,MGR0159
REQ00174,HR,2024-05-05,24,66,Yes,2024-05-29,MGR0109
REQ00175,IT,2025-05-14,51,33,Yes,2025-07-04,MGR0073
REQ00176,Finance,2025-05-09,61,118,Yes,2025-07-09,MGR0009
REQ00177,Planning,2024-02-25,69,109,Yes,2024-05-04,MGR0247
REQ00178,HR,2025-06-09,41,14,Yes,2025-07-20,MGR0189
REQ00179,Operations,2023-07-23,30,25,Yes,2023-08-22,MGR0223
REQ00180,Customer Service,2025-03-28,60,49,Yes,2025-05-27,MGR0152
REQ00181,Operations,2023-12-29,27,146,Yes,2024-01-25,MGR0094
REQ00182,Planning,2023-06-16,58,76,Yes,2023-08-13,MGR0095
REQ00183,Customer Service,2025-06-26,54,44,Yes,2025-08-19,MGR0004
REQ00184,Operations,2023-05-04,18,19,No,2023-05-22,MGR0182
REQ00185,Maintenance,2024-03-21,42,72,Yes,2024-05-02,MGR0257
REQ00186,Operations,2023-07-16,43,92,Yes,2023-08-28,MGR0060
REQ00187,Customer Service,2023-08-20,70,76,Yes,2023-10-29,MGR0207
REQ00188,Operations,2023-05-14,49,53,Yes,2023-07-02,MGR0158
REQ00189,Planning,2024-07-30,93,101,Yes,2024-10-31,MGR0063
REQ00190,Maintenance,2024-01-14,20,71,Yes,2024-02-03,MGR0145
REQ00191,Customer Service,2025-11-09,64,129,Yes,2026-01-12,MGR0198
REQ00192,Planning,2025-12-11,79,48,Yes,2026-02-28,MGR0274
REQ00193,Maintenance,2023-09-23,18,143,Yes,2023-10-11,MGR0279
REQ00194,Maintenance,2024-02-22,58,48,Yes,2024-04-20,MGR0212
REQ00195,Customer Service,2024-07-01,60,120,Yes,2024-08-30,MGR0245
REQ00196,Operations,2023-07-13,32,42,No,2023-08-14,MGR0122
REQ00197,Operations,2025-09-25,66,137,Yes,2025-11-30,MGR0065
REQ00198,Finance,2025-10-17,66,105,Yes,2025-12-22,MGR0174
REQ00199,IT,2023-04-30,62,19,Yes,2023-07-01,MGR0171
REQ00200,Operations,2023-01-19,51,97,Yes,2023-03-11,MGR0240
REQ00201,Maintenance,2024-08-26,40,50,Yes,2024-10-05,MGR0276
REQ00202,Maintenance,2023-06-19,35,46,Yes,2023-07-24,MGR0201
REQ00203,Planning,2025-10-28,73,19,Yes,2026-01-09,MGR0012
REQ00204,Operations,2024-01-11,61,80,Yes,2024-03-12,MGR0190
REQ00205,Operations,2025-11-13,63,91,Yes,2026-01-15,MGR0114
REQ00206,Operations,2025-09-01,40,12,Yes,2025-10-11,MGR0256
REQ00207,Customer Service,2025-01-10,69,79,Yes,2025-03-20,MGR0075
REQ00208,Safety & Compliance,2025-04-12,22,75,Yes,2025-05-04,MGR0087
REQ00209,Operations,2025-03-11,72,31,Yes,2025-05-22,MGR0199
REQ00210,Operations,2025-11-02,74,99,Yes,2026-01-15,MGR0219
REQ00211,IT,2024-02-27,113,121,No,2024-06-19,MGR0174
REQ00212,Operations,2025-05-09,38,91,Yes,2025-06-16,MGR0081
REQ00213,Operations,2024-05-24,26,51,Yes,2024-06-19,MGR0068
REQ00214,Customer Service,2025-06-15,30,126,No,2025-07-15,MGR0264
REQ00215,Customer Service,2024-06-02,63,147,Yes,2024-08-04,MGR0278
REQ00216,IT,2025-11-02,84,81,No,2026-01-25,MGR0111
REQ00217,Maintenance,2025-02-03,39,13,Yes,2025-03-14,MGR0129
REQ00218,IT,2025-07-12,61,46,Yes,2025-09-11,MGR0197
REQ00219,Maintenance,2025-08-23,24,132,Yes,2025-09-16,MGR0059
REQ00220,Operations,2023-05-18,64,71,No,2023-07-21,MGR0108
REQ00221,Finance,2025-06-05,48,31,No,2025-07-23,MGR0074
REQ00222,Operations,2025-11-28,30,140,Yes,2025-12-28,MGR0141
REQ00223,Operations,2025-01-12,73,142,Yes,2025-03-26,MGR0280
REQ00224,IT,2023-12-07,84,120,Yes,2024-02-29,MGR0091
REQ00225,Operations,2024-03-10,21,30,Yes,2024-03-31,MGR0132
REQ00226,Maintenance,2023-11-13,45,90,Yes,2023-12-28,MGR0054
REQ00227,Operations,2024-07-13,37,52,Yes,2024-08-19,MGR0181
REQ00228,Safety & Compliance,2025-03-25,59,89,Yes,2025-05-23,MGR0084
REQ00229,Customer Service,2025-03-29,72,36,Yes,2025-06-09,MGR0076
REQ00230,Finance,2025-05-10,30,103,Yes,2025-06-09,MGR0153
REQ00231,IT,2025-09-19,58,84,Yes,2025-11-16,MGR0131
REQ00232,Maintenance,2025-01-15,32,36,Yes,2025-02-16,MGR0246
REQ00233,Operations,2024-07-10,68,114,Yes,2024-09-16,MGR0124
REQ00234,Operations,2024-08-31,66,32,Yes,2024-11-05,MGR0216
REQ00235,Operations,2023-01-25,59,62,Yes,2023-03-25,MGR0082
REQ00236,Operations,2023-04-04,19,44,Yes,2023-04-23,MGR0010
REQ00237,Operations,2024-06-14,35,130,No,2024-07-19,MGR0013
REQ00238,Operations,2024-02-08,42,120,Yes,2024-03-21,MGR0194
REQ00239,Maintenance,2025-07-18,31,129,Yes,2025-08-18,MGR0077
REQ00240,Operations,2024-04-21,29,92,Yes,2024-05-20,MGR0005
REQ00241,Maintenance,2025-11-02,61,50,Yes,2026-01-02,MGR0036
REQ00242,Operations,2024-10-15,62,84,Yes,2024-12-16,MGR0190
REQ00243,Finance,2023-07-18,19,76,Yes,2023-08-06,MGR0078
REQ00244,Operations,2023-05-23,40,11,Yes,2023-07-02,MGR0157
REQ00245,HR,2024-06-24,25,73,Yes,2024-07-19,MGR0119
REQ00246,Operations,2023-03-12,32,97,Yes,2023-04-13,MGR0024
REQ00247,Maintenance,2025-11-28,34,26,No,2026-01-01,MGR0107
REQ00248,Operations,2023-02-11,70,109,Yes,2023-04-22,MGR0090
REQ00249,Operations,2025-10-15,18,135,Yes,2025-11-02,MGR0167
REQ00250,Finance,2023-07-10,65,137,Yes,2023-09-13,MGR0189
REQ00251,Maintenance,2024-09-10,54,137,Yes,2024-11-03,MGR0083
REQ00252,HR,2023-01-25,66,54,Yes,2023-04-01,MGR0182
REQ00253,Operations,2023-09-11,37,68,Yes,2023-10-18,MGR0084
REQ00254,Customer Service,2023-04-23,70,13,No,2023-07-02,MGR0090
REQ00255,Operations,2024-07-20,28,97,Yes,2024-08-17,MGR0259
REQ00256,Operations,2024-02-22,31,85,Yes,2024-03-24,MGR0105
REQ00257,Operations,2023-10-27,22,85,Yes,2023-11-18,MGR0235
REQ00258,Operations,2023-11-02,60,70,Yes,2024-01-01,MGR0260
REQ00259,Planning,2025-06-03,52,65,No,2025-07-25,MGR0087
REQ00260,Operations,2023-06-20,31,88,No,2023-07-21,MGR0195
REQ00261,Maintenance,2024-12-28,24,77,Yes,2025-01-21,MGR0295
REQ00262,Maintenance,2025-01-18,28,23,Yes,2025-02-15,MGR0216
REQ00263,Operations,2023-01-05,25,70,Yes,2023-01-30,MGR0216
REQ00264,Customer Service,2023-02-16,45,90,Yes,2023-04-02,MGR0183
REQ00265,Customer Service,2023-09-01,32,49,Yes,2023-10-03,MGR0017
REQ00266,Customer Service,2023-07-25,31,64,No,2023-08-25,MGR0042
REQ00267,IT,2025-07-18,113,28,Yes,2025-11-08,MGR0269
REQ00268,Finance,2025-08-07,67,105,Yes,2025-10-13,MGR0024
REQ00269,Maintenance,2023-03-07,52,127,No,2023-04-28,MGR0093
REQ00270,IT,2025-01-01,86,131,Yes,2025-03-28,MGR0255
REQ00271,Maintenance,2024-09-17,41,99,Yes,2024-10-28,MGR0054
REQ00272,Operations,2023-07-20,36,104,Yes,2023-08-25,MGR0163
REQ00273,HR,2023-04-02,40,111,Yes,2023-05-12,MGR0105
REQ00274,Operations,2025-09-08,73,105,Yes,2025-11-20,MGR0181
REQ00275,Customer Service,2023-02-22,23,113,No,2023-03-17,MGR0076
REQ00276,Operations,2024-01-14,70,42,No,2024-03-24,MGR0015
REQ00277,Safety & Compliance,2024-12-12,49,115,Yes,2025-01-30,MGR0119
REQ00278,IT,2023-05-07,73,110,No,2023-07-19,MGR0131
REQ00279,Maintenance,2025-06-11,37,132,Yes,2025-07-18,MGR0283
REQ00280,Operations,2025-03-12,56,99,Yes,2025-05-07,MGR0188
REQ00281,Operations,2025-01-09,34,22,Yes,2025-02-12,MGR0232
REQ00282,Customer Service,2024-09-06,69,36,Yes,2024-11-14,MGR0132
REQ00283,Safety & Compliance,2025-07-05,61,62,Yes,2025-09-04,MGR0087
REQ00284,Operations,2024-07-15,68,45,Yes,2024-09-21,MGR0113
REQ00285,Operations,2025-03-01,38,56,Yes,2025-04-08,MGR0168
REQ00286,Operations,2023-09-06,43,30,Yes,2023-10-19,MGR0297
REQ00287,Customer Service,2025-06-25,25,136,Yes,2025-07-20,MGR0242
REQ00288,Operations,2025-07-04,53,42,Yes,2025-08-26,MGR0128
REQ00289,Maintenance,2024-03-05,68,101,Yes,2024-05-12,MGR0131
REQ00290,Operations,2024-03-05,55,149,Yes,2024-04-29,MGR0282
REQ00291,Operations,2023-10-22,32,31,No,2023-11-23,MGR0004
REQ00292,HR,2023-11-20,40,94,Yes,2023-12-30,MGR0158
REQ00293,Customer Service,2023-09-24,61,36,Yes,2023-11-24,MGR0210
REQ00294,Planning,2023-02-12,100,17,Yes,2023-05-23,MGR0063
REQ00295,Operations,2025-05-24,51,109,No,2025-07-14,MGR0078
REQ00296,Operations,2025-07-09,45,22,Yes,2025-08-23,MGR0111
REQ00297,Operations,2024-09-28,43,49,No,2024-11-10,MGR0087
REQ00298,Operations,2023-09-22,53,22,Yes,2023-11-14,MGR0259
REQ00299,Operations,2024-10-20,37,92,No,2024-11-26,MGR0114
REQ00300,Operations,2023-07-24,30,98,Yes,2023-08-23,MGR0093
REQ00301,Operations,2023-02-17,37,24,Yes,2023-03-26,MGR0010
REQ00302,Maintenance,2024-06-23,64,87,Yes,2024-08-26,MGR0046
REQ00303,Operations,2025-10-08,26,93,Yes,2025-11-03,MGR0181
REQ00304,Operations,2025-12-03,40,62,Yes,2026-01-12,MGR0078
REQ00305,Customer Service,2023-11-11,45,82,Yes,2023-12-26,MGR0037
REQ00306,Operations,2025-04-09,48,147,Yes,2025-05-27,MGR0100
REQ00307,HR,2023-03-19,58,130,Yes,2023-05-16,MGR0040
REQ00308,IT,2025-02-24,75,65,Yes,2025-05-10,MGR0039
REQ00309,Operations,2024-12-05,62,101,Yes,2025-02-05,MGR0210
REQ00310,Finance,2023-11-08,22,45,Yes,2023-11-30,MGR0039
REQ00311,Maintenance,2024-10-28,75,46,No,2025-01-11,MGR0060
REQ00312,Operations,2025-03-21,63,89,No,2025-05-23,MGR0114
REQ00313,Customer Service,2025-11-15,27,150,Yes,2025-12-12,MGR0050
REQ00314,Maintenance,2025-05-25,19,86,Yes,2025-06-13,MGR0042
REQ00315,Customer Service,2024-11-05,60,78,Yes,2025-01-04,MGR0145
REQ00316,IT,2024-11-24,82,121,Yes,2025-02-14,MGR0037
REQ00317,Maintenance,2024-10-14,23,112,Yes,2024-11-06,MGR0214
REQ00318,Customer Service,2025-03-13,67,78,Yes,2025-05-19,MGR0239
REQ00319,Safety & Compliance,2025-12-16,36,113,Yes,2026-01-21,MGR0296
REQ00320,Operations,2025-04-02,40,97,Yes,2025-05-12,MGR0211
REQ00321,Operations,2024-06-13,42,54,No,2024-07-25,MGR0059
REQ00322,Maintenance,2023-08-13,66,18,Yes,2023-10-18,MGR0163
REQ00323,Maintenance,2025-08-19,41,55,Yes,2025-09-29,MGR0160
REQ00324,Maintenance,2024-01-21,60,49,Yes,2024-03-21,MGR0018
REQ00325,Maintenance,2024-08-26,44,8,No,2024-10-09,MGR0175
REQ00326,Operations,2025-12-06,23,135,No,2025-12-29,MGR0172
REQ00327,Operations,2023-05-19,45,47,Yes,2023-07-03,MGR0234
REQ00328,Operations,2025-11-14,23,50,Yes,2025-12-07,MGR0180
REQ00329,Maintenance,2024-09-02,24,64,Yes,2024-09-26,MGR0275
REQ00330,Operations,2024-07-13,48,24,Yes,2024-08-30,MGR0286
REQ00331,Planning,2025-07-13,119,56,Yes,2025-11-09,MGR0029
REQ00332,Maintenance,2023-07-15,63,147,Yes,2023-09-16,MGR0014
REQ00333,Operations,2025-05-17,26,15,No,2025-06-12,MGR0234
REQ00334,Finance,2023-05-25,26,90,Yes,2023-06-20,MGR0090
REQ00335,Operations,2025-02-14,74,74,Yes,2025-04-29,MGR0155
REQ00336,Operations,2024-05-19,72,83,No,2024-07-30,MGR0297
REQ00337,Maintenance,2024-02-11,23,54,Yes,2024-03-05,MGR0216
REQ00338,Operations,2024-03-31,66,108,Yes,2024-06-05,MGR0205
REQ00339,Maintenance,2024-11-18,53,61,Yes,2025-01-10,MGR0056
REQ00340,Operations,2025-06-27,53,106,No,2025-08-19,MGR0161
REQ00341,Operations,2024-01-25,19,21,Yes,2024-02-13,MGR0055
REQ00342,Operations,2025-02-10,24,118,Yes,2025-03-06,MGR0027
REQ00343,Operations,2025-07-30,52,90,Yes,2025-09-20,MGR0260
REQ00344,Operations,2023-02-25,57,106,Yes,2023-04-23,MGR0109
REQ00345,IT,2023-02-11,64,127,Yes,2023-04-16,MGR0065
REQ00346,Operations,2025-05-12,65,39,Yes,2025-07-16,MGR0293
REQ00347,Operations,2023-08-07,30,93,Yes,2023-09-06,MGR0297
REQ00348,Operations,2024-10-25,50,138,Yes,2024-12-14,MGR0060
REQ00349,Operations,2024-11-19,27,121,Yes,2024-12-16,MGR0057
REQ00350,Customer Service,2024-11-08,44,129,Yes,2024-12-22,MGR0183
REQ00351,IT,2025-04-06,74,132,No,2025-06-19,MGR0095
REQ00352,IT,2023-07-21,65,62,No,2023-09-24,MGR0181
REQ00353,Customer Service,2023-11-21,65,10,Yes,2024-01-25,MGR0288
REQ00354,Maintenance,2024-07-18,69,73,Yes,2024-09-25,MGR0225
REQ00355,Maintenance,2024-12-31,67,8,No,2025-03-08,MGR0222
REQ00356,IT,2025-11-29,88,95,No,2026-02-25,MGR0088
REQ00357,IT,2025-05-07,98,73,No,2025-08-13,MGR0079
REQ00358,HR,2024-10-29,68,81,No,2025-01-05,MGR0136
REQ00359,Finance,2024-04-20,51,89,Yes,2024-06-10,MGR0170
REQ00360,Customer Service,2024-03-11,72,37,Yes,2024-05-22,MGR0029
REQ00361,Maintenance,2024-12-16,44,130,No,2025-01-29,MGR0298
